DATE,WGS2YR
1990-12-01,7.3200000000000000
1991-01-01,7.1350000000000000
1991-02-01,6.8850000000000000
1991-03-01,7.0900000000000000
1991-04-01,6.9600000000000000
1991-05-01,6.7840000000000000
1991-06-01,6.9575000000000000
1991-07-01,6.9350000000000000
1991-08-01,6.4800000000000000
1991-09-01,6.1950000000000000
1991-10-01,5.9450000000000000
1991-11-01,5.5900000000000000
1991-12-01,5.0400000000000000
1992-01-01,4.9420000000000000
1992-02-01,5.2150000000000000
1992-03-01,5.6950000000000000
1992-04-01,5.3500000000000000
1992-05-01,5.2580000000000000
1992-06-01,5.0675000000000000
1992-07-01,4.4120000000000000
1992-08-01,4.1950000000000000
1992-09-01,3.9225000000000000
1992-10-01,4.0460000000000000
1992-11-01,4.5700000000000000
1992-12-01,4.6950000000000000
1993-01-01,4.4300000000000000
1993-02-01,4.0975000000000000
1993-03-01,3.9500000000000000
1993-04-01,3.8540000000000000
1993-05-01,3.9800000000000000
1993-06-01,4.1825000000000000
1993-07-01,4.0680000000000000
1993-08-01,4.0150000000000000
1993-09-01,3.8500000000000000
1993-10-01,3.8640000000000000
1993-11-01,4.1525000000000000
1993-12-01,4.2120000000000000
1994-01-01,4.1400000000000000
1994-02-01,4.4550000000000000
1994-03-01,4.9425000000000000
1994-04-01,5.4800000000000000
1994-05-01,5.9625000000000000
1994-06-01,5.8975000000000000
1994-07-01,6.1300000000000000
1994-08-01,6.1750000000000000
1994-09-01,6.3600000000000000
1994-10-01,6.7175000000000000
1994-11-01,7.0950000000000000
1994-12-01,7.5700000000000000
1995-01-01,7.5400000000000000
1995-02-01,7.1500000000000000
1995-03-01,6.7780000000000000
1995-04-01,6.5700000000000000
1995-05-01,6.1975000000000000
1995-06-01,5.7320000000000000
1995-07-01,5.7700000000000000
1995-08-01,6.0000000000000000
1995-09-01,5.8200000000000000
1995-10-01,5.7075000000000000
1995-11-01,5.5050000000000000
1995-12-01,5.3360000000000000
1996-01-01,5.1275000000000000
1996-02-01,4.9700000000000000
1996-03-01,5.6100000000000000
1996-04-01,5.9500000000000000
1996-05-01,6.0920000000000000
1996-06-01,6.2975000000000000
1996-07-01,6.2650000000000000
1996-08-01,6.0600000000000000
1996-09-01,6.2450000000000000
1996-10-01,5.9425000000000000
1996-11-01,5.7200000000000000
1996-12-01,5.7800000000000000
1997-01-01,5.9920000000000000
1997-02-01,5.8950000000000000
1997-03-01,6.2175000000000000
1997-04-01,6.4600000000000000
1997-05-01,6.2880000000000000
1997-06-01,6.0950000000000000
1997-07-01,5.9275000000000000
1997-08-01,5.9160000000000000
1997-09-01,5.8950000000000000
1997-10-01,5.7760000000000000
1997-11-01,5.7125000000000000
1997-12-01,5.7175000000000000
1998-01-01,5.4100000000000000
1998-02-01,5.4150000000000000
1998-03-01,5.5550000000000000
1998-04-01,5.5450000000000000
1998-05-01,5.6060000000000000
1998-06-01,5.5225000000000000
1998-07-01,5.4640000000000000
1998-08-01,5.2875000000000000
1998-09-01,4.7200000000000000
1998-10-01,4.1280000000000000
1998-11-01,4.5450000000000000
1998-12-01,4.4950000000000000
1999-01-01,4.6160000000000000
1999-02-01,4.8800000000000000
1999-03-01,5.0625000000000000
1999-04-01,4.9780000000000000
1999-05-01,5.2525000000000000
1999-06-01,5.6150000000000000
1999-07-01,5.5660000000000000
1999-08-01,5.6750000000000000
1999-09-01,5.6750000000000000
1999-10-01,5.8260000000000000
1999-11-01,5.8475000000000000
1999-12-01,6.1060000000000000
2000-01-01,6.4325000000000000
2000-02-01,6.6200000000000000
2000-03-01,6.5260000000000000
2000-04-01,6.4000000000000000
2000-05-01,6.8200000000000000
2000-06-01,6.5080000000000000
2000-07-01,6.3400000000000000
2000-08-01,6.2325000000000000
2000-09-01,6.1060000000000000
2000-10-01,5.9075000000000000
2000-11-01,5.9100000000000000
2000-12-01,5.4020000000000000
2001-01-01,4.7725000000000000
2001-02-01,4.6950000000000000
2001-03-01,4.3540000000000000
2001-04-01,4.2325000000000000
2001-05-01,4.2550000000000000
2001-06-01,4.1140000000000000
2001-07-01,4.0700000000000000
2001-08-01,3.7620000000000000
2001-09-01,3.1500000000000000
2001-10-01,2.7650000000000000
2001-11-01,2.7600000000000000
2001-12-01,3.1150000000000000
2002-01-01,3.0250000000000000
2002-02-01,3.0250000000000000
2002-03-01,3.4820000000000000
2002-04-01,3.4400000000000000
2002-05-01,3.2620000000000000
2002-06-01,2.9900000000000000
2002-07-01,2.6000000000000000
2002-08-01,2.1580000000000000
2002-09-01,2.0200000000000000
2002-10-01,1.9375000000000000
2002-11-01,1.9020000000000000
2002-12-01,1.8550000000000000
2003-01-01,1.7280000000000000
2003-02-01,1.6275000000000000
2003-03-01,1.5775000000000000
2003-04-01,1.6275000000000000
2003-05-01,1.4340000000000000
2003-06-01,1.22250000000000000000
2003-07-01,1.4175000000000000
2003-08-01,1.8340000000000000
2003-09-01,1.7300000000000000
2003-10-01,1.7360000000000000
2003-11-01,1.9325000000000000
2003-12-01,1.9100000000000000
2004-01-01,1.7760000000000000
2004-02-01,1.7400000000000000
2004-03-01,1.5725000000000000
2004-04-01,2.0100000000000000
2004-05-01,2.5350000000000000
2004-06-01,2.7525000000000000
2004-07-01,2.6540000000000000
2004-08-01,2.5150000000000000
2004-09-01,2.5025000000000000
2004-10-01,2.5840000000000000
2004-11-01,2.8375000000000000
2004-12-01,3.0160000000000000
2005-01-01,3.2200000000000000
2005-02-01,3.3775000000000000
2005-03-01,3.7000000000000000
2005-04-01,3.6880000000000000
2005-05-01,3.6450000000000000
2005-06-01,3.6325000000000000
2005-07-01,3.8280000000000000
2005-08-01,4.0550000000000000
2005-09-01,3.9440000000000000
2005-10-01,4.2625000000000000
2005-11-01,4.4200000000000000
2005-12-01,4.4020000000000000
2006-01-01,4.3775000000000000
2006-02-01,4.6525000000000000
2006-03-01,4.7300000000000000
2006-04-01,4.8900000000000000
2006-05-01,4.9625000000000000
2006-06-01,5.1080000000000000
2006-07-01,5.1275000000000000
2006-08-01,4.9200000000000000
2006-09-01,4.7820000000000000
2006-10-01,4.8025000000000000
2006-11-01,4.7550000000000000
2006-12-01,4.6780000000000000
2007-01-01,4.8575000000000000
2007-02-01,4.8925000000000000
2007-03-01,4.5860000000000000
2007-04-01,4.6675000000000000
2007-05-01,4.7375000000000000
2007-06-01,4.9660000000000000
2007-07-01,4.8500000000000000
2007-08-01,4.3340000000000000
2007-09-01,4.0150000000000000
2007-10-01,3.9950000000000000
2007-11-01,3.3960000000000000
2007-12-01,3.1275000000000000
2008-01-01,2.5550000000000000
2008-02-01,2.0180000000000000
2008-03-01,1.6150000000000000
2008-04-01,1.9825000000000000
2008-05-01,2.4400000000000000
2008-06-01,2.7800000000000000
2008-07-01,2.5725000000000000
2008-08-01,2.4460000000000000
2008-09-01,2.1075000000000000
2008-10-01,1.6340000000000000
2008-11-01,1.21000000000000000000
2008-12-01,0.83250000000000000000
2009-01-01,0.80000000000000000000
2009-02-01,0.97250000000000000000
2009-03-01,0.94250000000000000000
2009-04-01,0.91750000000000000000
2009-05-01,0.92800000000000000000
2009-06-01,1.19000000000000000000
2009-07-01,1.02800000000000000000
2009-08-01,1.12000000000000000000
2009-09-01,0.95250000000000000000
2009-10-01,0.95400000000000000000
2009-11-01,0.80750000000000000000
2009-12-01,0.82500000000000000000
2010-01-01,0.96000000000000000000
2010-02-01,0.86000000000000000000
2010-03-01,0.94750000000000000000
2010-04-01,1.06000000000000000000
2010-05-01,0.83000000000000000000
2010-06-01,0.74500000000000000000
2010-07-01,0.61600000000000000000
2010-08-01,0.52500000000000000000
2010-09-01,0.49750000000000000000
2010-10-01,0.38200000000000000000
2010-11-01,0.45750000000000000000
2010-12-01,0.60600000000000000000
2011-01-01,0.61750000000000000000
2011-02-01,0.76500000000000000000
2011-03-01,0.67500000000000000000
2011-04-01,0.74400000000000000000
2011-05-01,0.55750000000000000000
2011-06-01,0.40500000000000000000
2011-07-01,0.41400000000000000000
2011-08-01,0.23750000000000000000
2011-09-01,0.21200000000000000000
2011-10-01,0.28500000000000000000
2011-11-01,0.25250000000000000000
2011-12-01,0.26000000000000000000
2012-01-01,0.24250000000000000000
2012-02-01,0.27250000000000000000
2012-03-01,0.34000000000000000000
2012-04-01,0.29000000000000000000
2012-05-01,0.28250000000000000000
2012-06-01,0.28800000000000000000
2012-07-01,0.25250000000000000000
2012-08-01,0.26600000000000000000
2012-09-01,0.25500000000000000000
2012-10-01,0.27500000000000000000
2012-11-01,0.27200000000000000000
2012-12-01,0.25750000000000000000
2013-01-01,0.26250000000000000000
2013-02-01,0.27250000000000000000
2013-03-01,0.25600000000000000000
2013-04-01,0.23750000000000000000
2013-05-01,0.25000000000000000000
2013-06-01,0.33250000000000000000
2013-07-01,0.34500000000000000000
2013-08-01,0.35000000000000000000
2013-09-01,0.41000000000000000000
2013-10-01,0.34000000000000000000
2013-11-01,0.30800000000000000000
2013-12-01,0.34000000000000000000
2014-01-01,0.39200000000000000000
2014-02-01,0.32750000000000000000
2014-03-01,0.39750000000000000000
2014-04-01,0.41500000000000000000
2014-05-01,0.39400000000000000000
2014-06-01,0.45000000000000000000
2014-07-01,0.49750000000000000000
2014-08-01,0.48400000000000000000
2014-09-01,0.56500000000000000000
2014-10-01,0.45600000000000000000
2014-11-01,0.52500000000000000000
2014-12-01,0.63250000000000000000
2015-01-01,0.57400000000000000000
2015-02-01,0.62250000000000000000
2015-03-01,0.64750000000000000000
2015-04-01,0.54000000000000000000
2015-05-01,0.60400000000000000000
2015-06-01,0.69250000000000000000
2015-07-01,0.66600000000000000000
2015-08-01,0.69750000000000000000
2015-09-01,0.72750000000000000000
2015-10-01,0.64400000000000000000
2015-11-01,0.88500000000000000000
2015-12-01,0.96500000000000000000
2016-01-01,0.93200000000000000000
2016-02-01,0.73000000000000000000
2016-03-01,0.89000000000000000000
2016-04-01,0.77200000000000000000
2016-05-01,0.81250000000000000000
2016-06-01,0.76750000000000000000
2016-07-01,0.65600000000000000000
2016-08-01,0.72750000000000000000
2016-09-01,0.77400000000000000000
2016-10-01,0.84250000000000000000
2016-11-01,0.95750000000000000000
2016-12-01,1.18600000000000000000
2017-01-01,1.20750000000000000000
2017-02-01,1.20000000000000000000
2017-03-01,1.3040000000000000
2017-04-01,1.24250000000000000000
2017-05-01,1.3050000000000000
2017-06-01,1.3340000000000000
2017-07-01,1.3775000000000000
2017-08-01,1.3375000000000000
2017-09-01,1.3720000000000000
2017-10-01,1.5425000000000000
2017-11-01,1.6775000000000000
2017-12-01,1.8340000000000000
2018-01-01,2.0175000000000000
2018-02-01,2.1600000000000000
2018-03-01,2.2740000000000000
2018-04-01,2.3800000000000000
2018-05-01,2.5325000000000000
2018-06-01,2.5120000000000000
2018-07-01,2.6000000000000000
2018-08-01,2.6380000000000000
2018-09-01,2.7625000000000000
2018-10-01,2.8650000000000000
2018-11-01,2.8540000000000000
2018-12-01,2.6875000000000000
2019-01-01,2.5425000000000000
2019-02-01,2.5100000000000000
2019-03-01,2.4240000000000000
2019-04-01,2.3525000000000000
2019-05-01,2.2080000000000000
2019-06-01,1.8150000000000000
2019-07-01,1.8300000000000000
2019-08-01,1.6080000000000000
2019-09-01,1.6425000000000000
2019-10-01,1.5450000000000000
2019-11-01,1.6100000000000000
2019-12-01,1.6150000000000000
2020-01-01,1.5280000000000000
2020-02-01,1.3350000000000000
2020-03-01,0.47000000000000000000
2020-04-01,0.23000000000000000000
2020-05-01,0.17800000000000000000
